feature,row,column
age,4,2
Tense - relaxed,0,5
Authoritative -anarchic ,3,4
Hostile - friendly,1,3
sex_F,3,3
sex_M,4,4
country_argentina,0,0
country_brasil,0,1
country_canada,2,1
country_chile,0,0
country_colombia,0,0
country_cuba,0,1
country_england,3,2
country_germany,0,1
country_hungary,0,1
country_italy,0,1
country_mexico,0,1
country_polish,0,0
country_russia,0,1
country_scotland,0,0
country_spain,0,1
returning_no,1,7
returning_yes,6,0
GImg1_dislikes,0,2
GImg1_indiferent,0,5
GImg1_likes,7,1
GImg2_dislikes,0,4
GImg2_indiferent,1,3
GImg2_likes,6,0
GImg3_dislikes,0,4
GImg3_indiferent,1,3
GImg3_likes,6,0
PImg1_indiferent,0,1
PImg1_likes,7,7
PImg3_dislikes,0,5
PImg3_indiferent,1,2
PImg3_likes,6,1
PImg4_dislikes,0,4
PImg4_indiferent,1,3
PImg4_likes,6,1
PImg5_dislikes,7,7
PImg5_indiferent,0,0
TAudio1_A,3,0
TAudio1_B,4,2
TAudio1_C,0,5
TAudio1_D,0,1
TAudio2_dislikes,6,6
TAudio2_indiferent,1,1
TAudio3_dislikes,4,7
TAudio3_indiferent,2,0
TAudio3_likes,0,1
QAudio1_dislikes,0,2
QAudio1_indiferent,0,1
QAudio1_likes,7,5
QAudio2_dislikes,6,6
QAudio2_indiferent,0,1
QAudio2_likes,0,1
QAudio3_dislikes,6,7
QAudio3_indiferent,1,1
QAudio3_likes,0,0
Proxemics_dislikes,6,7
Proxemics_indiferent,1,0
