feature,row,column
age,11.0,11.0
Tense - relaxed,9.0,6.0
Authoritative -anarchic ,11.0,9.0
Hostile - friendly,8.0,8.0
sex_F,12.0,9.0
sex_M,11.0,9.0
country_argentina,6.0,10.0
country_brasil,6.0,10.0
country_canada,9.0,11.0
country_colombia,6.0,10.0
country_cuba,6.0,10.0
country_england,11.0,11.0
country_germany,7.0,9.0
country_hungary,6.0,10.0
country_italy,6.0,10.0
country_mexico,6.0,10.0
country_polish,7.0,11.0
country_russia,6.0,10.0
country_scotland,7.0,10.0
country_spain,7.0,9.0
country_uruguay,6.0,10.0
returning_no,11.0,4.0
returning_yes,13.0,14.0
GImg1_dislikes,7.0,9.0
GImg1_indiferent,7.0,7.0
GImg1_likes,16.0,13.0
GImg2_dislikes,7.0,7.0
GImg2_indiferent,9.0,8.0
GImg2_likes,13.0,13.0
GImg3_dislikes,7.0,7.0
GImg3_indiferent,9.0,8.0
GImg3_likes,13.0,13.0
PImg1_indiferent,6.0,10.0
PImg1_likes,18.0,8.0
PImg3_dislikes,8.0,5.0
PImg3_indiferent,7.0,10.0
PImg3_likes,15.0,13.0
PImg4_dislikes,8.0,7.0
PImg4_indiferent,8.0,8.0
PImg4_likes,14.0,13.0
PImg5_dislikes,18.0,8.0
PImg5_indiferent,6.0,11.0
TAudio1_A,10.0,12.0
TAudio1_B,11.0,11.0
TAudio1_C,8.0,6.0
TAudio1_D,6.0,10.0
TAudio2_dislikes,15.0,8.0
TAudio2_indiferent,9.0,10.0
TAudio3_dislikes,14.0,6.0
TAudio3_indiferent,9.0,13.0
TAudio3_likes,6.0,10.0
QAudio1_dislikes,6.0,9.0
QAudio1_indiferent,7.0,9.0
QAudio1_likes,17.0,10.0
QAudio2_dislikes,16.0,7.0
QAudio2_indiferent,8.0,11.0
QAudio2_likes,6.0,10.0
QAudio3_dislikes,16.0,7.0
QAudio3_indiferent,7.0,11.0
QAudio3_likes,6.0,11.0
Proxemics_dislikes,17.0,7.0
Proxemics_indiferent,7.0,11.0
